Change Component Footprint: Designator=Y1 Old Footprint=WE-XTAL_CFPX-180 New Footprint=WE-XTAL_HC49/4H
Change Component Comment : Designator=Y1 Old Comment=24MHz, +/-20ppm, 18pF New Comment=14.7456MHz, +/-30ppm, 30pF
Change component parameters: Designator = "Y1" ("Y1"); Footprint = "WE-XTAL_CFPX-180"; UniqueID = "\UKWQMYMQ" ("\UKWQMYMQ")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.we-online.de"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://katalog.we-online.com/pbs/datasheet/830003224B.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency"; Value = "14.7456MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency Stability"; Value = "50ppm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency Tolerance"; Value = "+/-30ppm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Load Capacitance"; Value = "30pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "THT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-10 up to +60degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "830003224B"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published Date"; Value = "March 2019"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Wurth Elektronik"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size"; Value = "HC49-4H"; VariantName = "[No Variations]"
Added Room: Name=ESP8266_Impedance
