Name,Designator,Quantity

"ME6209","3V3 Regulator","1"
"10µF","C1, C2","2"
"1µF","C3, C6, C7, C12, C13","5"
"100nF","C4, C5","2"
"4.7µF","C8, C9","2"
"100µF","C10, C11","2"
"Pot-B10K","Crossover Pot B10K, Volume Pot Base B10K, Volume Pot Treble B10K","3"
"Yellow, 2V","D1, D2","2"
"NS8002","NS8002 Base, NS8002 Treble","2"
"SquarePad","OUT-BASE-MIN, OUT-BASE-PLUS, OUT-TREBLE-MIN, OUT-TREBLE-PLUS","4"
"PJ-320B Audio Jack","PJ-320B Audio Jack","1"
"PMS171B-S08","PMS171B","1"
"5.1kO","R1, R2","2"
"10kO","R3, R4, R11","3"
"1kO","R5, R6, R12, R13, R14","5"
"15kO","R7, R9","2"
"20kO","R8, R10","2"
"2.2kO","R15","1"
"TM8211","TM8211","1"
"USBC-6Pin-Female","USBC","1"
