Altium Designer Pick and Place Locations
C:\Users\maxim\Documents\Projects\AltiumProjects\PadaukAudioBoard\Project Outputs for PadaukAudioBoard\Pick Place for PadaukAudioBoard.csv

========================================================================================================================
File Design Information:

Date:       28/02/26
Time:       17:27
Revision:   daaae7cd4d6073530a845d5e528ac9e14850c473
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C26","1µF","TopLayer","WCAP-CSGP_0805_H=0.8mm_Reflow","69.3000mm","23.5000mm","90","WCAP-CSGP General Purpose Ceramic Capacitors, size 0805, 1nF, +/-5%, 16VDC"
"A1","PCB_WiFi_Antenna","TopLayer","PCBComponent_1","35.7726mm","37.8125mm","0",""
"J1","TYPE-C-31-M-12","TopLayer","HRO_TYPE-C-31-M-12","13.3000mm","8.2750mm","0","USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS"
"C25","15pF","TopLayer","WCAP-CSGP_0805_H=0.8mm_Reflow","98.0000mm","6.2000mm","90","WCAP-CSGP General Purpose Ceramic Capacitors, size 0805, 1nF, +/-5%, 16VDC"
"C24","15pF","TopLayer","WCAP-CSGP_0805_H=0.8mm_Reflow","89.5000mm","6.0000mm","90","WCAP-CSGP General Purpose Ceramic Capacitors, size 0805, 1nF, +/-5%, 16VDC"
"Y1","40MHz","TopLayer","WE-XTAL_CFPX-180","49.9000mm","37.6000mm","0","WE-XTAL Quartz Crystal, SMT, CFPX-180, 30MHz, +/-10ppm"
"S2","430156043726","TopLayer","4301x60437x6","19.6500mm","38.2500mm","0","WS-TATV THT Tact Switch 6x6mm, height 4.3mm, 260gf"
"S1","430156043726","TopLayer","4301x60437x6","11.4000mm","39.6000mm","0","WS-TATV THT Tact Switch 6x6mm, height 4.3mm, 260gf"
"R19","10kO","TopLayer","WRIS-PSMB_0805_H=0.22mm","93.4250mm","20.8000mm","0","WRIS-PSMB Metal Plate Resistors, size 0805, 10mOhm, +/-1%, 0.5W"
"R18","10kO","TopLayer","WRIS-PSMB_0805_H=0.22mm","98.5250mm","21.6000mm","0","WRIS-PSMB Metal Plate Resistors, size 0805, 10mOhm, +/-1%, 0.5W"
"C22","100nF","TopLayer","WCAP-CSGP_0805_H=0.8mm_Reflow","40.2000mm","7.7000mm","90","WCAP-CSGP General Purpose Ceramic Capacitors, size 0805, 1nF, +/-5%, 16VDC"
"C21","100nF","TopLayer","WCAP-CSGP_0805_H=0.8mm_Reflow","45.9000mm","9.6000mm","0","WCAP-CSGP General Purpose Ceramic Capacitors, size 0805, 1nF, +/-5%, 16VDC"
